_recordId,prolific_id,age,country,gender,education,considered_CS,carried_out_CS_activities,extraversion_enthusiastic,critical_quarrelsome,dependable_self-disciplined,anxious_easily_upset,openness_to_experiences,reserved_quiet,sympathetic_warm,disorganized_careless,calm_emotionally_stable,conventional_uncreative,philosophy1,philosophy2,philosophy3,philosophy4,philosophy5,philosophy6,philosophy7,philosophy8,philosophy9,philosophy10,philosophy11,philosophy12,philosophy13,philosophy14,philosophy15,philosophy16,philosophy17,philosophy18,philosophy19,philosophy20,philosophy21,philosophy22,philosophy23,philosophy24,philosophy25,philosophy26,philosophy27,philosophy28,philosophy29,philosophy30,philosophy31,philosophy32,philosophy33,philosophy34,philosophy35,QID139_17,authority_edu,social_proof_edu,appeal_finances_edu,awareness_words_edu,semantic_repetition_priming_edu,appeal_to_common_sense,flattery_edu,hypocrisy_induction_edu,scarcity_edu,device_rhetorical_question_edu,device_hypophora_edu,semantic_repetition_edu,device_epistrophe,device_anaphora_edu,device_antanagoge_edu,Illusion_of_superiority_edu,appeal_finances_cs,awareness_words_cs,authority_cs,social_proof_cs,QID161_TEXT,QID141_TEXT,SC_6X9hnx1aa222uxf
R_yQK5cizJiQxa68F,5ea936e503a71a000af12d7b,22,Poland,Male,High School,Yes,Yes and it made me MORE interested in the subject,Disagree strongly,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree strongly,Disagree a little,Disagree moderately,Agree moderately,Agree a little,"Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Disagree Very Much,Disagree Very Much,"Disagree Slightly					",Disagree Very Much,"Neutral					","Neutral					","Agree Slightly					",Disagree Very Much,"Neutral					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					",8,7,8,2,5,6,5,4,6,6,2,4,3,5,8,4,3,2,5,6,5,I had some problems with the font size. Everything else was fine.,,198
R_1OJfriJ65kYCHfx,5e78d8e25a7a1e029aa14e95,30,Australia,Male,Bachelors Degree,Yes,Yes and it made me MORE interested in the subject,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree moderately,Agree strongly,Disagree strongly,Agree moderately,Disagree moderately,"Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					",Agree Strongly,"Neutral					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,"Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Disagree Slightly					",Agree Strongly,"Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					",Agree Strongly,"Neutral					","Disagree Slightly					",8,5,7,6,8,7,9,8,6,9,7,9,3,5,7,10,8,7,9,6,9,The galileo statements have display problem on apple safari. There were a few statement which had a display problem. I could read only half of it and guess the rest.,,45
R_007kCxFGDwvHNCx,5ebc28317b81ab034de5421b,21,Greece,Female,High School,Yes,Yes and it didn’t change my mind about the subject,Agree strongly,Disagree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree a little,Agree moderately,Agree a little,Disagree moderately,Disagree moderately,"Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Neutral					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					",Disagree Very Much,"Neutral					",Disagree Very Much,Disagree Very Much,Disagree Very Much,"Disagree Slightly					","Neutral					","Neutral					","Agree Slightly					","Neutral					","Neutral					",Disagree Very Much,"Disagree Slightly					","Neutral					","Agree Slightly					",Agree Strongly,"Disagree Slightly					","Agree Slightly					","Neutral					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					",5,5,5,6,5,7,4,1,5,9,4,2,2,5,9,1,3,6,3,4,10,keep this type of studies and inform people,,125
R_2D0SDOYng0HTa1Q,5ed64b349c985504da55adbd,29,United States of America (USA),Female,Masters Degree,Yes,Yes and it made me MORE interested in the subject,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Agree moderately,Agree a little,Disagree strongly,Agree a little,Disagree moderately,Agree Strongly,Disagree Very Much,"Neutral					","Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					",Agree Strongly,"Disagree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					",Disagree Very Much,Agree Strongly,"Agree Slightly					","Disagree Slightly					",Agree Strongly,Agree Strongly,Agree Strongly,"Agree Slightly					",Agree Strongly,"Disagree Slightly					","Disagree Slightly					",Disagree Very Much,"Disagree Slightly					",Disagree Very Much,Agree Strongly,"Neutral					","Agree Slightly					","Agree Slightly					","Disagree Slightly					",7,1,7,4,9,5,10,9,9,9,6,6,5,9,9,9,8,7,7,7,7,Keep up the good work. Nice study. ,,226
R_12sPjAFRfq2O2H8,5e682f7b30914f0ed798df97,23,United States of America (USA),Female,Bachelors Degree,No,Yes and it made me MORE interested in the subject,Agree strongly,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree strongly,"Agree Slightly					",Disagree Very Much,Disagree Very Much,"Neutral					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Disagree Slightly					",Disagree Very Much,"Agree Slightly					",Agree Strongly,"Agree Slightly					",Disagree Very Much,"Neutral					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,Agree Strongly,"Disagree Slightly					",Disagree Very Much,Agree Strongly,"Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					",Agree Strongly,Agree Strongly,Agree Strongly,"Agree Slightly					",Agree Strongly,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,4,5,10,7,10,9,The use of statistics gives more convincing statements ,,230
R_1rAFWEYdLl2tX5g,5e85a31fbde83718f0f52b0d,27,Portugal,Male,Masters Degree,Yes,Yes and it made me MORE interested in the subject,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Agree strongly,Disagree moderately,Disagree Very Much,"Neutral					","Disagree Slightly					",Agree Strongly,"Neutral					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					",Disagree Very Much,Agree Strongly,Disagree Very Much,Agree Strongly,"Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Neutral					","Disagree Slightly					",Agree Strongly,"Agree Slightly					",Agree Strongly,"Neutral					","Neutral					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Neutral					",7,5,7,3,5,4,5,6,9,9,4,7,4,5,10,7,4,6,6,7,5,"Computer science is always a good option if students are able to build some hard work.
:)",,177
R_1Qz6DMlawC87LQ4,5e68bd36f0153b000a148229,29,Spain,Female,Trade School,Yes,Yes and it made me MORE interested in the subject,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree moderately,Disagree a little,Disagree a little,Agree moderately,Disagree a little,Disagree strongly,"Neutral					",Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,"Neutral					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,"Neutral					",Agree Strongly,"Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					",Agree Strongly,"Disagree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					",Agree Strongly,"Neutral					","Agree Slightly					",Disagree Very Much,"Agree Slightly					",Agree Strongly,Agree Strongly,Disagree Very Much,"Agree Slightly					","Agree Slightly					",Disagree Very Much,"Agree Slightly					","Disagree Slightly					",6,5,8,9,9,6,7,4,9,8,7,8,7,10,7,7,9,8,8,9,8,"To support and encourage in the study it is essential to encourage about the future, the needs that we all have and the successes that we can find, and as in many sentences I have been able to read, it is also essential to add the effort and failures that we may encounter along the way . In general I love the initiative.",,211
R_vGZpkRhujaLvQd3,5d20fd874c615500189193b8,28,Great Britain,Female,High School,Yes,Other,Disagree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Disagree a little,Agree a little,Disagree moderately,Disagree a little,Disagree a little,"Neutral					",Disagree Very Much,"Neutral					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",9,3,9,5,8,8,8,9,8,7,9,4,7,7,7,7,7,5,8,8,9,A well playing job is good but it should be more about fulfillment rather than money.,,118
R_2DNfH2nAO9CsxKD,5c59390c34bba40001b72c23,38,Great Britain,Female,High School,No,Other,Disagree moderately,Disagree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree moderately,"Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Disagree Slightly					",6,6,5,5,5,5,6,6,6,7,5,6,6,7,6,7,5,5,5,5,5,No,5c59390c34bba40001b72c23,127
R_25GiyzdxdoTP9wi,5ee7972b0e94f60324a5d258,30,Great Britain,Female,High School,Yes,Other,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree moderately,Disagree strongly,Disagree moderately,"Agree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,"Neutral					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					",8,6,8,6,7,6,5,5,4,5,5,5,5,6,7,4,5,9,7,9,8,The most convincing statements for me were around getting a good job that paid well.,,111
R_cGdCe7CognhC0uJ,5e564565a55444017aec29c2,40,Virgin Islands (UK),Female,High School,No,Yes and it didn’t change my mind about the subject,Agree moderately,Agree strongly,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Disagree strongly,Agree a little,Neither agree nor disagree,Agree Strongly,"Disagree Slightly					",Disagree Very Much,"Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Agree Slightly					",8,7,9,8,9,7,8,9,8,9,10,9,10,10,9,5,6,8,9,8,9,Education is important for a successful future,,240
R_tKk7iuGFDG7QWbf,5ede5cc85e33960aa8bc621a,38,Great Britain,Female,High School,No,Other,Agree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree Strongly,"Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Neutral					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					",Agree Strongly,"Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Agree Slightly					",Agree Strongly,Agree Strongly,5,6,9,8,7,9,9,7,7,9,7,5,9,9,10,7,6,8,3,5,7,Very good ssurvey,5ede5cc85e33960aa8bc621a,96
R_7Ojp6Z8ttxEGuFX,5c450af94c194d00019cf8cc,40,Virgin Islands (UK),Female,High School,No,Other,Disagree moderately,Disagree moderately,Disagree moderately,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree moderately,Agree Strongly,"Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					",Agree Strongly,Agree Strongly,"Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Neutral					","Disagree Slightly					",Disagree Very Much,"Agree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Neutral					","Agree Slightly					",8,7,9,7,7,8,8,9,7,7,6,6,7,7,8,6,7,6,7,7,8,Only that there was no option for United Kingdom at the beginning,,221
R_25dmjZ2y5hTNIIh,5c75e0172c662600014eb398,18,Great Britain,Male,High School,Yes,Yes and it made me MORE interested in the subject,Disagree moderately,Agree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Disagree a little,"Neutral					",Disagree Very Much,"Neutral					","Neutral					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					",Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,"Neutral					","Neutral					","Neutral					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Neutral					",Disagree Very Much,Disagree Very Much,"Neutral					",Disagree Very Much,Disagree Very Much,Disagree Very Much,"Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Neutral					",1,6,5,1,8,6,7,1,7,8,1,1,7,10,10,1,1,8,7,8,8,I would vary the image template used.,,138
R_ONbc0hsFHsXxCTv,5d288cc0710db10018bdef31,19,Great Britain,Female,High School,Yes,Yes and it made me MORE interested in the subject,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree moderately,"Disagree Slightly					",Disagree Very Much,"Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Disagree Slightly					",Disagree Very Much,"Neutral					","Disagree Slightly					",Disagree Very Much,Agree Strongly,Agree Strongly,"Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Neutral					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Neutral					",Disagree Very Much,"Agree Slightly					","Neutral					",Agree Strongly,"Neutral					","Disagree Slightly					",6,7,6,3,2,4,7,6,7,4,8,6,7,4,5,3,5,5,8,4,6,more specific advice seemed more effective ,,121
R_116AQjvWPeibcoo,5e063e3814ae630234d7e95c,54,Great Britain,Male,Some High School,No,Other,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree moderately,"Neutral					",Disagree Very Much,Disagree Very Much,"Agree Slightly					",Disagree Very Much,Disagree Very Much,"Neutral					",Disagree Very Much,Disagree Very Much,"Agree Slightly					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,"Disagree Slightly					","Neutral					",Agree Strongly,Agree Strongly,Disagree Very Much,"Neutral					",Disagree Very Much,"Agree Slightly					","Neutral					",Agree Strongly,"Neutral					","Disagree Slightly					","Neutral					",Disagree Very Much,"Disagree Slightly					",Agree Strongly,"Neutral					","Agree Slightly					",Agree Strongly,"Neutral					",5,2,8,5,1,5,10,5,10,7,8,9,10,8,7,10,10,5,7,9,10,no idea,,119
R_ANASajdcj1wB5ol,5b2939c07f78160001466f4a,51,Great Britain,Female,High School,No,Other,Agree a little,Disagree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,"Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					",Disagree Very Much,"Disagree Slightly					",Disagree Very Much,Disagree Very Much,Disagree Very Much,"Disagree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					",Disagree Very Much,"Neutral					","Agree Slightly					","Agree Slightly					","Neutral					",Disagree Very Much,5,6,5,3,2,2,4,3,2,7,7,3,6,3,3,3,4,3,3,3,7,Don`t have any sorry!,,144
R_3PtWOKi1ipmybTX,5e84d5a4688ce3079c247798,28,Great Britain,Female,Bachelors Degree,No,Yes and it made me MORE interested in the subject,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,"Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Agree Slightly					",Agree Strongly,Agree Strongly,"Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Disagree Slightly					",Agree Strongly,"Agree Slightly					",Agree Strongly,"Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					",Agree Strongly,Agree Strongly,"Neutral					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					",5,6,5,8,9,8,9,2,7,2,8,7,6,6,9,8,2,5,7,9,3,Push the logos aspect. The minimal experience I have is that it’s quite relaxing as everything is logical! ,5e84d5a4688ce3079c247798,80
R_2Tz9aNzHE2XqhBz,55206838fdf99b5d4cf472f8,54,Great Britain,Female,High School,No,Other,Disagree a little,Disagree strongly,Agree a little,Disagree strongly,Agree moderately,Agree moderately,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree a little,"Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					",Agree Strongly,"Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,"Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					",Disagree Very Much,"Agree Slightly					","Neutral					","Neutral					","Neutral					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					",Disagree Very Much,"Disagree Slightly					","Disagree Slightly					","Neutral					","Agree Slightly					","Neutral					",8,6,9,4,3,6,5,6,4,7,2,2,4,1,6,3,1,8,7,9,7,None,,121
R_OdmIA7uShRjlfcB,5e0ce28c4fa02a490a19e3f0,19,Great Britain,Female,High School,Yes,Yes and it made me LESS interested in the subject,Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,"Agree Slightly					","Disagree Slightly					",Disagree Very Much,"Disagree Slightly					",Disagree Very Much,"Disagree Slightly					",Disagree Very Much,Disagree Very Much,Disagree Very Much,"Neutral					","Neutral					","Agree Slightly					",Disagree Very Much,Disagree Very Much,Disagree Very Much,"Agree Slightly					",Disagree Very Much,Agree Strongly,Disagree Very Much,"Disagree Slightly					","Neutral					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Neutral					","Neutral					","Agree Slightly					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,Agree Strongly,Agree Strongly,"Agree Slightly					","Agree Slightly					","Disagree Slightly					",7,5,8,4,5,6,2,3,5,7,1,1,1,4,4,5,6,8,6,6,4,Make the statements so that people do not want to give up and feel encouraged ,,130
R_wMIjboAHwbVZFkJ,5c64ca190a8dd800013e853a,23,Chile,Male,High School,Yes,Yes and it made me LESS interested in the subject,Disagree strongly,Agree strongly,Agree a little,Disagree moderately,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree a little,Agree strongly,Agree strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,"Disagree Slightly					",Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,"Disagree Slightly					",Disagree Very Much,Disagree Very Much,Agree Strongly,"Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					",Disagree Very Much,Disagree Very Much,"Agree Slightly					",1,5,1,1,1,5,1,1,1,1,1,1,1,1,3,1,1,4,1,3,1,"Too much sentimentalist, should have focuses more in the money",,113
R_29izM7ED7kGKirT,5ea37537485d2e2fff8b868d,26,Great Britain,Male,Bachelors Degree,Yes,Yes and it made me MORE interested in the subject,Agree a little,Agree moderately,Disagree moderately,Disagree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Disagree a little,Disagree strongly,"Neutral					",Disagree Very Much,Disagree Very Much,"Agree Slightly					",Disagree Very Much,Disagree Very Much,Disagree Very Much,"Neutral					",Disagree Very Much,"Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Agree Slightly					",Disagree Very Much,Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Neutral					",Disagree Very Much,Disagree Very Much,"Agree Slightly					","Neutral					",Agree Strongly,"Agree Slightly					",Disagree Very Much,Disagree Very Much,"Agree Slightly					","Disagree Slightly					","Neutral					",Disagree Very Much,2,5,5,3,4,5,4,1,8,7,1,5,7,2,10,10,5,7,6,6,8,"For someone like myself, I'm not motivated by money or security. I'm motivated by pursuing a life I would like to live. Obviously that requires having money, but it's a shallow motivational tool for me. To me, it's far more motivating to accentuate the qualities that are desirable in the kind of person who might achieve their goals. The destination isn't what I'm interested in I suppose, it's the journey, and to talk about goals doesn't interest me. Because once I achieve that goal, then what? I'll be stuck looking for another goal. The goal should be to live everyday in the best way possible.

I dunno, I'm probably rambling, and this might be useful to you. But I just know that telling me I could earn more money if I sacrifice however many years of my life isn't what's going to get me interested. Something along the lines of how much I will learn and grow as a person, which in turn affords new opportunities. It's the same line of reasoning, but it's a difference in priorities I suppose.",,117
R_doHnmeXykUTUMgx,5d7f6481cb6cf000163998e5,64,Great Britain,Male,Masters Degree,Yes,Yes and it made me MORE interested in the subject,Disagree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Agree a little,Disagree strongly,Agree Strongly,"Disagree Slightly					",Disagree Very Much,"Neutral					",Disagree Very Much,"Disagree Slightly					",Agree Strongly,Agree Strongly,"Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Disagree Slightly					",Disagree Very Much,Agree Strongly,"Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Neutral					",Disagree Very Much,"Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					",Disagree Very Much,Disagree Very Much,"Disagree Slightly					",Disagree Very Much,"Neutral					","Disagree Slightly					",7,5,7,5,5,3,6,7,8,5,3,2,2,5,9,5,5,3,3,7,7,"Make fewer certain declarations, be more aware of individual differences in ability and processes when studying.",annye.braca@adaptcentre.ie pierpaolo.dondio@adaptcentre.ie,119
R_2YFjpEzzZx1ddpB,5c18f74e9caf5e00011a3db5,76,Great Britain,Male,Trade School,Yes,Other,Disagree moderately,Disagree strongly,Agree a little,Disagree strongly,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree Strongly,"Agree Slightly					","Neutral					",Agree Strongly,"Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					",Agree Strongly,"Neutral					","Disagree Slightly					",Disagree Very Much,"Agree Slightly					","Disagree Slightly					",Agree Strongly,"Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Neutral					",Disagree Very Much,5,6,8,7,6,5,9,9,10,8,5,5,7,4,6,6,8,5,7,9,6,"I think that working hard and to the best of ones ability is helpful but my experience is that being in the right place at the right time combined with a little luck helps

Not everybody is able to understand math and computer science",,109
R_3e9XZg9MOILehya,5abf3b30a3ba7a0001b46efa,70,Great Britain,Male,High School,Yes,Yes and it made me MORE interested in the subject,Disagree a little,Disagree a little,Agree strongly,Disagree strongly,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Agree strongly,Neither agree nor disagree,"Disagree Slightly					",Disagree Very Much,"Neutral					","Agree Slightly					","Disagree Slightly					","Neutral					","Agree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Disagree Slightly					","Neutral					","Neutral					",Disagree Very Much,"Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Neutral					","Neutral					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Neutral					","Agree Slightly					","Neutral					","Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Disagree Slightly					",4,5,5,1,2,3,7,4,9,8,5,1,7,4,8,6,9,4,8,5,3,"I didn't have a degree but worked all my working life in the computer industry as a Programmer, Systems Analyst, Data Centre Manager and Systems Project Manager. I found that employing people with an aptitude and enthusiasm for the work was better than employing people with a computer science degree,  who tended to think they were better than they were and had limited flexibility and failed to be able to think a problem through if it didn't fit their preconceived ideas. ",,126
